,run_id,glacier_id,start_date_str,end_date_str
105,Dehecq - CTL,RGI60-14.10077,2000-09-11,2013-10-10
106,Dehecq - CTL,RGI60-14.10078,2000-09-11,2013-10-10
107,Dehecq - CTL,RGI60-14.10079,2000-09-11,2013-10-10
108,Dehecq - CTL,RGI60-14.10080,2000-09-11,2013-10-10
109,Dehecq - CTL,RGI60-14.10081,2000-09-11,2013-10-10
110,Dehecq - CTL,RGI60-14.10082,2000-09-11,2013-10-10
111,Dehecq - CTL,RGI60-14.10083,2000-09-11,2013-10-10
112,Dehecq - CTL,RGI60-14.10084,2000-09-11,2013-10-10
113,Dehecq - CTL,RGI60-14.10085,2000-09-11,2013-10-10
114,Dehecq - CTL,RGI60-14.10086,2000-09-11,2013-10-10
115,Dehecq - CTL,RGI60-14.10087,2000-09-11,2013-10-10
116,Dehecq - CTL,RGI60-14.10088,2000-09-11,2013-10-10
117,Dehecq - CTL,RGI60-14.10089,2000-09-11,2013-10-10
118,Dehecq - CTL,RGI60-14.10090,2000-09-11,2013-10-10
119,Dehecq - CTL,RGI60-14.10091,2000-09-11,2013-10-10
120,Dehecq - CTL,RGI60-14.10092,2000-09-11,2013-10-10
121,Dehecq - CTL,RGI60-14.10093,2000-09-11,2013-10-10
122,Dehecq - CTL,RGI60-14.10094,2000-09-11,2013-10-10
123,Dehecq - CTL,RGI60-14.10095,2000-09-11,2013-10-10
124,Dehecq - CTL,RGI60-14.10096,2000-09-11,2013-10-10
125,Dehecq - CTL,RGI60-14.10097,2000-09-11,2013-10-10
126,Dehecq - CTL,RGI60-14.10098,2000-09-11,2013-10-10
127,Dehecq - CTL,RGI60-14.10099,2000-09-11,2013-10-10
128,Dehecq - CTL,RGI60-14.10100,2000-09-11,2013-10-10
129,Dehecq - CTL,RGI60-14.10101,2000-09-11,2013-10-10
130,Dehecq - CTL,RGI60-14.10549,2000-09-11,2013-10-10
131,Dehecq - CTL,RGI60-14.10550,2000-09-11,2013-10-10
132,Dehecq - CTL,RGI60-14.10551,2000-09-11,2013-10-10
133,Dehecq - CTL,RGI60-14.05944,2000-09-11,2012-09-28
134,Dehecq - CTL,RGI60-14.05963,2000-09-11,2012-09-28
135,Dehecq - CTL,RGI60-14.06629,2000-09-11,2012-09-28
136,Dehecq - CTL,RGI60-14.06794,2000-09-11,2012-09-28
137,Dehecq - CTL,RGI60-14.06796,2000-09-11,2012-09-28
138,Dehecq - CTL,RGI60-14.06797,2000-09-11,2012-09-28
139,Dehecq - CTL,RGI60-14.06798,2000-09-11,2012-09-28
140,Dehecq - CTL,RGI60-14.06799,2000-09-11,2012-09-28
141,Dehecq - CTL,RGI60-14.06800,2000-09-11,2012-09-28
142,Dehecq - CTL,RGI60-14.06801,2000-09-11,2012-09-28
143,Dehecq - CTL,RGI60-14.06802,2000-09-11,2012-09-28
144,Dehecq - CTL,RGI60-14.06803,2000-09-11,2012-09-28
145,Dehecq - CTL,RGI60-14.06804,2000-09-11,2012-09-28
146,Dehecq - CTL,RGI60-14.06805,2000-09-11,2012-09-28
147,Dehecq - CTL,RGI60-14.06806,2000-09-11,2012-09-28
148,Dehecq - CTL,RGI60-14.06807,2000-09-11,2012-09-28
149,Dehecq - CTL,RGI60-14.06808,2000-09-11,2012-09-28
150,Dehecq - CTL,RGI60-14.06809,2000-09-11,2012-09-28
151,Dehecq - CTL,RGI60-14.06810,2000-09-11,2012-09-28
152,Dehecq - CTL,RGI60-14.06811,2000-09-11,2012-09-28
153,Dehecq - CTL,RGI60-14.06812,2000-09-11,2012-09-28
154,Dehecq - CTL,RGI60-14.06813,2000-09-11,2012-09-28
155,Dehecq - CTL,RGI60-14.06816,2000-09-11,2012-09-28
156,Dehecq - CTL,RGI60-14.06817,2000-09-11,2012-09-28
157,Dehecq - CTL,RGI60-14.06818,2000-09-11,2012-09-28
158,Dehecq - CTL,RGI60-14.06819,2000-09-11,2012-09-28
159,Dehecq - CTL,RGI60-14.06820,2000-09-11,2012-09-28
160,Dehecq - CTL,RGI60-14.06821,2000-09-11,2012-09-28
161,Dehecq - CTL,RGI60-14.06822,2000-09-11,2012-09-28
162,Dehecq - CTL,RGI60-14.06823,2000-09-11,2012-09-28
163,Dehecq - CTL,RGI60-14.06824,2000-09-11,2012-09-28
164,Dehecq - CTL,RGI60-14.06825,2000-09-11,2012-09-28
165,Dehecq - CTL,RGI60-14.06826,2000-09-11,2012-09-28
166,Dehecq - CTL,RGI60-14.06827,2000-09-11,2012-09-28
167,Dehecq - CTL,RGI60-14.06828,2000-09-11,2012-09-28
168,Dehecq - CTL,RGI60-14.06829,2000-09-11,2012-09-28
169,Dehecq - CTL,RGI60-14.06830,2000-09-11,2012-09-28
170,Dehecq - CTL,RGI60-14.06831,2000-09-11,2012-09-28
171,Dehecq - CTL,RGI60-14.06832,2000-09-11,2012-09-28
172,Dehecq - CTL,RGI60-14.06833,2000-09-11,2012-09-28
173,Dehecq - CTL,RGI60-14.06834,2000-09-11,2012-09-28
174,Dehecq - CTL,RGI60-14.06835,2000-09-11,2012-09-28
175,Dehecq - CTL,RGI60-14.06836,2000-09-11,2012-09-28
176,Dehecq - CTL,RGI60-14.06837,2000-09-11,2012-09-28
177,Dehecq - CTL,RGI60-14.06838,2000-09-11,2012-09-28
178,Dehecq - CTL,RGI60-14.06839,2000-09-11,2012-09-28
179,Dehecq - CTL,RGI60-14.06840,2000-09-11,2012-09-28
180,Dehecq - CTL,RGI60-14.06841,2000-09-11,2012-09-28
181,Dehecq - CTL,RGI60-14.06842,2000-09-11,2012-09-28
182,Dehecq - CTL,RGI60-14.06843,2000-09-11,2012-09-28
183,Dehecq - CTL,RGI60-14.06844,2000-09-11,2012-09-28
184,Dehecq - CTL,RGI60-14.06845,2000-09-11,2012-09-28
185,Dehecq - CTL,RGI60-14.06846,2000-09-11,2012-09-28
