,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
16,Bolch,Bolch -  CLT1,RGI60-17.15847, CLT1,0.639,2000-02-11/22,3/24/2014,2.435922659,10.40868113,0.001556555,0.0066512080000000005,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,0.17262723150945866,0.7376349985899301
17,Bolch,Bolch -  CLT1,RGI60-17.15848, CLT1,0.0666,2000-02-11/22,3/24/2014,-1.47588802,14.06064508,-9.83e-05,0.0009364519999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.10459218069557626,0.9964397779336438
18,Bolch,Bolch -  CLT1,RGI60-17.15849, CLT1,0.1647,2000-02-11/22,3/24/2014,-2.4716391769999997,12.46542442,-0.000407079,0.002053174,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.1751583642606228,0.883390816725844
19,Bolch,Bolch -  CLT1,RGI60-17.15850, CLT1,2.2932,2000-02-11/22,3/24/2014,-7.797844532,8.781901088,-0.017882017,0.020139786,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5526120906699651,0.6223495095832363
20,Bolch,Bolch -  CLT1,RGI60-17.15851, CLT1,0.855,2000-02-11/22,3/24/2014,-3.249886982,10.01326766,-0.002778653,0.008561431,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.23031067523777649,0.7096131185128056
21,Bolch,Bolch -  CLT1,RGI60-17.15852, CLT1,0.1161,2000-02-11/22,3/24/2014,-3.403290715,13.05884097,-0.000395122,0.0015162029999999998,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.2411819816945576,0.925444638007858
22,Bolch,Bolch -  CLT1,RGI60-17.15853, CLT1,3.0528,2000-02-11/22,3/24/2014,-5.78490408,8.454003775,-0.017660155,0.025808794,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.40996046084982535,0.5991123164180734
23,Bolch,Bolch -  CLT1,RGI60-17.15854, CLT1,102.2553,2000-02-11/22,3/24/2014,-18.62231915,5.299551335,-1.904230831,0.541937495,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.3197132459327707,0.375564828309808
24,Bolch,Bolch -  CLT1,RGI60-17.15855, CLT1,4.9779,2000-02-11/22,3/24/2014,-19.24148265,7.92173259,-0.095782176,0.03944005,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.3635916837238067,0.5613917012994761
25,Bolch,Bolch -  CLT1,RGI60-17.15856, CLT1,10.0665,2000-02-11/22,3/24/2014,-12.65433352,7.213474122999999,-0.127384848,0.072617055,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.8967782922351571,0.5111993448633585
26,Bolch,Bolch -  CLT1,RGI60-17.15857, CLT1,37.1052,2000-02-11/22,3/24/2014,-8.428491122999999,6.064464987999999,-0.312740849,0.22502755800000002,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.597304303972788,0.4297721841030267
27,Bolch,Bolch -  CLT1,RGI60-17.15858, CLT1,1.7658,2000-02-11/22,3/24/2014,-5.116933155,9.092516487000001,-0.009035481,0.016056209,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.3626231732370489,0.6443619803796566
