,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
16,Dehecq,Dehecq - CTL,RGI60-14.06796,CTL,0.368,2000-09-11,2013-10-10,5.2320922323185135,34.65075838550335,0.001925409941493213,0.012751479085865231,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.40004640733814884,2.649401193281369
17,Dehecq,Dehecq - CTL,RGI60-14.06797,CTL,0.158,2000-09-11,2013-10-10,6.551696260214058,42.49111642719458,0.0010351680091138212,0.0067135963954967435,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.5009434915309158,3.248875921087046
18,Dehecq,Dehecq - CTL,RGI60-14.06798,CTL,0.051,2000-09-11,2013-10-10,-7.022047181680215,10.541472668461207,-0.0003581244062656909,0.0005376151060915215,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.5369065800939289,0.8060022801246507
19,Dehecq,Dehecq - CTL,RGI60-14.06799,CTL,0.055,2000-09-11,2013-10-10,-5.2664381099884645,25.23361012361631,-0.00028965409604936565,0.001387848556798897,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.40267249731490196,1.929364893793355
20,Dehecq,Dehecq - CTL,RGI60-14.06800,CTL,0.051,2000-09-11,2013-10-10,-4.25690254751377,48.759880462961064,-0.00021710202992320226,0.0024867539036110137,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3254832856352113,3.7281863803844524
21,Dehecq,Dehecq - CTL,RGI60-14.06801,CTL,0.179,2000-09-11,2013-10-10,-1.622698990097903,41.41922381578796,-0.00029046311922752464,0.007414041063026044,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.12407176180306868,3.1669188818749325
22,Dehecq,Dehecq - CTL,RGI60-14.06802,CTL,0.14400000000000002,2000-09-11,2013-10-10,2.9989721980038397,43.055924836924106,0.0004318519965125528,0.0062000531765170706,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.22930177837992516,3.2920612406712437
23,Dehecq,Dehecq - CTL,RGI60-14.06803,CTL,0.05,2000-09-11,2013-10-10,0.055104627340965225,9.728110295939548,2.7552313670482617e-06,0.0004864055147969773,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.004213306497024816,0.7438124943671592
24,Dehecq,Dehecq - CTL,RGI60-14.06804,CTL,0.055,2000-09-11,2013-10-10,2.2986398324214856,48.28345219482894,0.0001264251907831817,0.0026555898707155924,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.1757542806765643,3.691758617157477
25,Dehecq,Dehecq - CTL,RGI60-14.06805,CTL,0.161,2000-09-11,2013-10-10,-0.5290353017110617,24.525376195765734,-8.517468357548095e-05,0.003948585567518284,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.04045010340170929,1.8752132416795968
