,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
21,Dehecq,Dehecq - CTL,RGI60-11.01450,CTL,82.206,2000-12-11,2021-06-12,-8.061036675010332,0.4837304876076325,-0.6626655809058993,0.039765548464273034,2000-12-11,2021-06-12,tab:green,AST,2000-12-11,2021-06-12,7488 days 00:00:00.000000000,-0.39320160864683806
22,Dehecq,Dehecq - CTL,RGI60-11.01698,CTL,9.402999999999999,2000-12-11,2021-06-12,-5.93542788033655,0.6975933758790944,-0.05581082835880459,0.006559470513391125,2000-12-11,2021-06-12,tab:green,AST,2000-12-11,2021-06-12,7488 days 00:00:00.000000000,-0.28951856748035854
23,Dehecq,Dehecq - CTL,RGI60-11.01797,CTL,7.428,2000-12-11,2021-06-12,-6.985924040238142,0.865484807036136,-0.05189144377088893,0.006428821146664418,2000-12-11,2021-06-12,tab:green,AST,2000-12-11,2021-06-12,7488 days 00:00:00.000000000,-0.34075971630568663
24,Dehecq,Dehecq - CTL,RGI60-11.01827,CTL,19.285999999999998,2000-12-11,2021-06-12,-8.458470737569494,1.1780949845223536,-0.1631300666447653,0.022720739871498117,2000-12-11,2021-06-12,tab:green,AST,2000-12-11,2021-06-12,7488 days 00:00:00.000000000,-0.4125876651839286
25,Dehecq,Dehecq - CTL,RGI60-11.01346,CTL,18.842,2011-03-20,2018-09-15,-4.165881345638323,0.6714193527199467,-0.07849353631451728,0.012650883443949237,2011-03-20,2018-09-15,tab:green,AST,2011-03-20,2018-09-15,2736 days 00:00:00.000000000,-0.5561360239380108
26,Dehecq,Dehecq - CTL,RGI60-11.01450,CTL,82.206,2011-03-20,2018-09-15,-9.373526945828797,0.6094425824138064,-0.7705601561088019,0.05009983692990938,2011-03-20,2018-09-15,tab:green,AST,2011-03-20,2018-09-15,2736 days 00:00:00.000000000,-1.251345291288
27,Dehecq,Dehecq - CTL,RGI60-11.01698,CTL,9.402999999999999,2011-03-20,2018-09-15,-2.691005474292256,0.7474179236311667,-0.025303524474770082,0.00702797073590386,2011-03-20,2018-09-15,tab:green,AST,2011-03-20,2018-09-15,2736 days 00:00:00.000000000,-0.3592433294902217
28,Dehecq,Dehecq - CTL,RGI60-11.01797,CTL,7.428,2011-03-20,2018-09-15,-4.6146855838679945,0.9518535432106291,-0.03427788451697146,0.007070368118968552,2011-03-20,2018-09-15,tab:green,AST,2011-03-20,2018-09-15,2736 days 00:00:00.000000000,-0.6160504055218512
29,Dehecq,Dehecq - CTL,RGI60-11.01827,CTL,19.285999999999998,2011-03-20,2018-09-15,-7.021873558012684,1.0836072892390114,-0.13542385343983265,0.02089845018026357,2011-03-20,2018-09-15,tab:green,AST,2011-03-20,2018-09-15,2736 days 00:00:00.000000000,-0.9374047211491714
30,Dussaillant,Dussaillant - SEAS,RGI60-11.01450,SEAS,82.2,2011.09.30,2017.09.30,-9.275,2.4659999999999997,-0.762,0.203,2011-09-30,2017-09-30,tab:red,AST,2011-09-30,2017-09-30,2192 days 00:00:00.000000000,-1.5454807253649636
31,Dussaillant,Dussaillant - SEAS,RGI60-11.01346,SEAS,18.8,2011.09.30,2017.09.30,-6.666,2.46,-0.125,0.046,2011-09-30,2017-09-30,tab:red,AST,2011-09-30,2017-09-30,2192 days 00:00:00.000000000,-1.1107465784671533
