,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
21,Piermattei,Piermattei - VOID_2,RGI60-08.00287,VOID_2,41.235,11/08/2006,28/07/2019,0.677,3.862,0.027934999999999998,0.159,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,0.052233681875792144
22,Piermattei,Piermattei - VOID_2,RGI60-08.01641,VOID_2,15.914000000000001,11/08/2006,28/07/2019,-0.165,3.862,-0.0026239999999999996,0.061,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.012730513307984791
23,Piermattei,Piermattei - VOID_2,RGI60-08.01657,VOID_2,36.049,11/08/2006,28/07/2019,-0.07,3.862,-0.0025310000000000003,0.139,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.005400823827629912
24,Piermattei,Piermattei - VOID_3,RGI60-08.00287,VOID_3,41.235,11/08/2006,28/07/2019,-0.823,3.862,-0.033936999999999995,0.159,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.06349825728770594
25,Piermattei,Piermattei - VOID_3,RGI60-08.01641,VOID_3,15.914000000000001,11/08/2006,28/07/2019,-1.8840000000000001,3.862,-0.029988000000000004,0.061,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.1453593155893536
26,Piermattei,Piermattei - VOID_3,RGI60-08.01657,VOID_3,36.049,11/08/2006,28/07/2019,-1.1340000000000001,3.862,-0.040893,0.139,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.08749334600760457
27,Piermattei,Piermattei - VOID_1,RGI60-08.00287,VOID_1,41.235,11/08/2006,28/07/2019,1.206,5.348,0.049736,0.221,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,0.09304847908745247
28,Piermattei,Piermattei - VOID_1,RGI60-08.01641,VOID_1,15.914000000000001,11/08/2006,28/07/2019,-0.988,5.348,-0.015726,0.085,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.07622877059569075
29,Piermattei,Piermattei - VOID_1,RGI60-08.01657,VOID_1,36.049,11/08/2006,28/07/2019,-2.04,5.348,-0.07354899999999999,0.193,2006-08-11,2019-07-28,tab:grey,AST,2006-08-11,2019-07-28,4734 days 00:00:00.000000000,-0.1573954372623574
30,Piermattei,Piermattei - TIME_1,RGI60-08.00287,TIME_1,41.235,02/09/2008,10/08/2020,2.54,6.518,0.10473700000000001,0.26899999999999996,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,0.21278325688073393
31,Piermattei,Piermattei - TIME_1,RGI60-08.01641,TIME_1,15.914000000000001,02/09/2008,10/08/2020,-2.64,6.053,-0.04201300000000001,0.096,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.22116055045871563
32,Piermattei,Piermattei - TIME_1,RGI60-08.01657,TIME_1,15.0219,02/09/2008,10/08/2020,-8.75,5.07,-0.131442,0.076,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.7330131880733946
33,Piermattei,Piermattei - TIME_2,RGI60-08.00287,TIME_2,42.235,02/09/2008,10/08/2020,-2.34,4.138999999999999,-0.09883,0.175,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.19602866972477065
34,Piermattei,Piermattei - TIME_2,RGI60-08.01641,TIME_2,15.914000000000001,02/09/2008,10/08/2020,-2.53,4.138999999999999,-0.040262,0.066,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.21194552752293577
35,Piermattei,Piermattei - TIME_2,RGI60-08.01657,TIME_2,15.0219,02/09/2008,10/08/2020,-3.71,4.138999999999999,-0.055731,0.062,2008-09-02,2020-08-10,tab:grey,AST,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.3107975917431193
36,Sommer,Sommer -  CTL,RGI60-08.00287, CTL,41.159,2007-06-01,2021-08-26,17.872,1.251,0.736,0.052000000000000005,2007-06-01,2021-08-26,tab:olive,AST,2007-06-01,2021-08-26,5200 days 00:00:00.000000000,1.2553361538461538
37,Sommer,Sommer -  CTL,RGI60-08.01641, CTL,15.899000000000001,2007-06-01,2021-08-26,53.353,1.186,0.848,0.021,2007-06-01,2021-08-26,tab:olive,AST,2007-06-01,2021-08-26,5200 days 00:00:00.000000000,3.747535240384616
38,Sommer,Sommer -  CTL,RGI60-08.01657, CTL,35.98,2007-06-01,2021-08-26,4.0,1.138,0.14400000000000002,0.040999999999999995,2007-06-01,2021-08-26,tab:olive,AST,2007-06-01,2021-08-26,5200 days 00:00:00.000000000,0.2809615384615385
39,Sommer,Sommer -  CTL,RGI60-08.00287, CTL,41.159,2011-03-20,2021-01-01,-0.773,0.192,-0.032,0.063,2011-03-20,2021-01-01,tab:olive,TDX,2011-03-20,2021-01-01,3575 days 00:00:00.000000000,-0.07897573426573427
40,Sommer,Sommer -  CTL,RGI60-08.01641, CTL,15.899000000000001,2011-03-20,2021-01-01,-2.452,0.18600000000000003,-0.039,0.03,2011-03-20,2021-01-01,tab:olive,TDX,2011-03-20,2021-01-01,3575 days 00:00:00.000000000,-0.25051552447552444
41,Sommer,Sommer -  CTL,RGI60-08.01657, CTL,35.98,2011-03-20,2021-01-01,-2.735,0.177,-0.098,0.073,2011-03-20,2021-01-01,tab:olive,TDX,2011-03-20,2021-01-01,3575 days 00:00:00.000000000,-0.27942902097902095
42,Validation,Validation - Validation,RGI60-08.01657,Validation,36.049, 2008-09-02,2020-08-10,-4.118,0.6920000000000001,-0.148,0.0249,2008-09-02,2020-08-10,k,Ref,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.34497694954128444
43,Validation,Validation - Validation,RGI60-08.00287,Validation,41.235, 2008-09-02,2020-08-10,-3.6060000000000003,0.6920000000000001,-0.149,0.0285,2008-09-02,2020-08-10,k,Ref,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.30208520642201836
44,Validation,Validation - Validation,RGI60-08.01641,Validation,15.914000000000001, 2008-09-02,2020-08-10,-6.281000000000001,0.6920000000000001,-0.1,0.011,2008-09-02,2020-08-10,k,Ref,2008-09-02,2020-08-10,4360 days 00:00:00.000000000,-0.5261778096330275
